ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
6758.T,SONY GROUP CORPORATION,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6758.T,2026-07-02,Yahoo Finance via yfinance,117777043771.07,12,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8411.T,MIZUHO FINANCIAL GROUP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8411.T,2026-07-02,Yahoo Finance via yfinance,117138767776.11,13,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6098.T,RECRUIT HOLDINGS CO LTD,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6098.T,2026-07-02,Yahoo Finance via yfinance,98760597218.5,14,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8058.T,MITSUBISHI CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8058.T,2026-07-02,Yahoo Finance via yfinance,97863448216.84,15,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8766.T,TOKIO MARINE HOLDINGS INC,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8766.T,2026-07-02,Yahoo Finance via yfinance,83653026614.51,16,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
4063.T,SHIN-ETSU CHEMICAL CO,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/4063.T,2026-07-02,Yahoo Finance via yfinance,83053163825.32,17,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8001.T,ITOCHU CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8001.T,2026-07-02,Yahoo Finance via yfinance,79649769277.39,18,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8031.T,MITSUI & CO,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8031.T,2026-07-02,Yahoo Finance via yfinance,77425403370.62,19,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
7011.T,MITSUBISHI HEAVY INDUSTRIES,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/7011.T,2026-07-02,Yahoo Finance via yfinance,77240492236.79,20,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6503.T,MITSUBISHI ELECTRIC CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6503.T,2026-07-02,Yahoo Finance via yfinance,75975791953.11,21,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
