ticker,name,sleeve,region,country,exchange,currency,asset_type,sector,industry,market_cap_usd,market_cap_rank,as_of_date,source,source_url,data_provider,investable,benchmark_only,signal_only,include,proxy_type,source_method,notes
BERA.IS,BERA HOLDİNG A.Ş.,global_equity_turkey,Europe / Middle East,Turkey,Borsa Istanbul,TRY,equity,,,,,2026-06-30,KAP BIST 100 index constituents,https://www.kap.org.tr/en/Endeksler,public_web_source,True,False,False,True,direct_listing,index_proxy,BIST 100 constituent proxy retrieved 2026-06-30; Yahoo suffix .IS applied for price lookup.
BIMAS.IS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,global_equity_turkey,Europe / Middle East,Turkey,Borsa Istanbul,TRY,equity,,,,,2026-06-30,KAP BIST 100 index constituents,https://www.kap.org.tr/en/Endeksler,public_web_source,True,False,False,True,direct_listing,index_proxy,BIST 100 constituent proxy retrieved 2026-06-30; Yahoo suffix .IS applied for price lookup.
BRSAN.IS,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,global_equity_turkey,Europe / Middle East,Turkey,Borsa Istanbul,TRY,equity,,,,,2026-06-30,KAP BIST 100 index constituents,https://www.kap.org.tr/en/Endeksler,public_web_source,True,False,False,True,direct_listing,index_proxy,BIST 100 constituent proxy retrieved 2026-06-30; Yahoo suffix .IS applied for price lookup.
BRYAT.IS,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,global_equity_turkey,Europe / Middle East,Turkey,Borsa Istanbul,TRY,equity,,,,,2026-06-30,KAP BIST 100 index constituents,https://www.kap.org.tr/en/Endeksler,public_web_source,True,False,False,True,direct_listing,index_proxy,BIST 100 constituent proxy retrieved 2026-06-30; Yahoo suffix .IS applied for price lookup.
CCOLA.IS,COCA-COLA İÇECEK A.Ş.,global_equity_turkey,Europe / Middle East,Turkey,Borsa Istanbul,TRY,equity,,,,,2026-06-30,KAP BIST 100 index constituents,https://www.kap.org.tr/en/Endeksler,public_web_source,True,False,False,True,direct_listing,index_proxy,BIST 100 constituent proxy retrieved 2026-06-30; Yahoo suffix .IS applied for price lookup.
CVKMD.IS,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,global_equity_turkey,Europe / Middle East,Turkey,Borsa Istanbul,TRY,equity,,,,,2026-06-30,KAP BIST 100 index constituents,https://www.kap.org.tr/en/Endeksler,public_web_source,True,False,False,True,direct_listing,index_proxy,BIST 100 constituent proxy retrieved 2026-06-30; Yahoo suffix .IS applied for price lookup.
CWENE.IS,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,global_equity_turkey,Europe / Middle East,Turkey,Borsa Istanbul,TRY,equity,,,,,2026-06-30,KAP BIST 100 index constituents,https://www.kap.org.tr/en/Endeksler,public_web_source,True,False,False,True,direct_listing,index_proxy,BIST 100 constituent proxy retrieved 2026-06-30; Yahoo suffix .IS applied for price lookup.
CANTE.IS,ÇAN2 TERMİK A.Ş.,global_equity_turkey,Europe / Middle East,Turkey,Borsa Istanbul,TRY,equity,,,,,2026-06-30,KAP BIST 100 index constituents,https://www.kap.org.tr/en/Endeksler,public_web_source,True,False,False,True,direct_listing,index_proxy,BIST 100 constituent proxy retrieved 2026-06-30; Yahoo suffix .IS applied for price lookup.
CIMSA.IS,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,global_equity_turkey,Europe / Middle East,Turkey,Borsa Istanbul,TRY,equity,,,,,2026-06-30,KAP BIST 100 index constituents,https://www.kap.org.tr/en/Endeksler,public_web_source,True,False,False,True,direct_listing,index_proxy,BIST 100 constituent proxy retrieved 2026-06-30; Yahoo suffix .IS applied for price lookup.
DAPGM.IS,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,global_equity_turkey,Europe / Middle East,Turkey,Borsa Istanbul,TRY,equity,,,,,2026-06-30,KAP BIST 100 index constituents,https://www.kap.org.tr/en/Endeksler,public_web_source,True,False,False,True,direct_listing,index_proxy,BIST 100 constituent proxy retrieved 2026-06-30; Yahoo suffix .IS applied for price lookup.
