ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
ISDMR.IS,ISKENDERUN DEMIR CELIK,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ISDMR.IS,2026-07-02,Yahoo Finance via yfinance,3498865290.94,28,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TRALT.IS,TURK ALTIN ISLETMELERI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TRALT.IS,2026-07-02,Yahoo Finance via yfinance,3287346575.84,29,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TOASO.IS,TOFAS OTO. FAB.,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TOASO.IS,2026-07-02,Yahoo Finance via yfinance,3268064775.94,30,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
GUBRF.IS,GUBRE FABRIK.,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/GUBRF.IS,2026-07-02,Yahoo Finance via yfinance,3197656730.78,31,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
INVES.IS,INVESTCO HOLDING,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/INVES.IS,2026-07-02,Yahoo Finance via yfinance,3164263547.89,32,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
KLRHO.IS,KILER HOLDING,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/KLRHO.IS,2026-07-02,Yahoo Finance via yfinance,3151539392.74,33,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
SISE.IS,SISE CAM,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/SISE.IS,2026-07-02,Yahoo Finance via yfinance,2876768916.43,34,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
DOCO.IS,DO-CO,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/DOCO.IS,2026-07-02,Yahoo Finance via yfinance,2784935030.16,35,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TERA.IS,TERA YATIRIM MENKUL DEGERLER,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TERA.IS,2026-07-02,Yahoo Finance via yfinance,2689670993.96,36,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
SELEC.IS,SELCUK ECZA DEPOSU,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/SELEC.IS,2026-07-02,Yahoo Finance via yfinance,2661597800.0,37,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AEFES.IS,ANADOLU EFES,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AEFES.IS,2026-07-02,Yahoo Finance via yfinance,2646878824.55,38,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
PKENT.IS,PETROKENT TURIZM,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/PKENT.IS,2026-07-02,Yahoo Finance via yfinance,2607569646.84,39,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ENJSA.IS,ENERJISA ENERJI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ENJSA.IS,2026-07-02,Yahoo Finance via yfinance,2604422665.54,40,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TURSG.IS,TURKIYE SIGORTA,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TURSG.IS,2026-07-02,Yahoo Finance via yfinance,2593022012.12,41,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
KENT.IS,KENT GIDA,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/KENT.IS,2026-07-02,Yahoo Finance via yfinance,2575931653.01,42,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
OZATD.IS,OZATA DENIZCILIK,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/OZATD.IS,2026-07-02,Yahoo Finance via yfinance,2538182799.41,43,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MGROS.IS,MIGROS TICARET,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MGROS.IS,2026-07-02,Yahoo Finance via yfinance,2515074975.26,44,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
SASA.IS,SASA POLYESTER,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/SASA.IS,2026-07-02,Yahoo Finance via yfinance,2408749280.45,45,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
