ticker,name,sleeve,region,country,exchange,currency,asset_type,sector,industry,market_cap_usd,market_cap_rank,as_of_date,source,source_url,data_provider,investable,benchmark_only,signal_only,include,proxy_type,source_method,notes
GLD,SPDR Gold Shares,commodity_real_assets,Global,United States,NYSE Arca,USD,proxy,,,,,2026-06-30,Yahoo Finance quote page,https://finance.yahoo.com/quote/GLD/,public_web_source,True,False,False,True,gold ETF/fund proxy,manual_review_required,Documented commodity proxy retrieved 2026-06-30; ETF/fund proxy differs from spot commodity.
SLV,iShares Silver Trust,commodity_real_assets,Global,United States,NYSE Arca,USD,proxy,,,,,2026-06-30,Yahoo Finance quote page,https://finance.yahoo.com/quote/SLV/,public_web_source,True,False,False,True,silver ETF/fund proxy,manual_review_required,Documented commodity proxy retrieved 2026-06-30; ETF/fund proxy differs from spot commodity.
CPER,United States Copper Index Fund,commodity_real_assets,Global,United States,NYSE Arca,USD,proxy,,,,,2026-06-30,Yahoo Finance quote page,https://finance.yahoo.com/quote/CPER/,public_web_source,True,False,False,True,copper ETF/fund proxy,manual_review_required,Documented commodity proxy retrieved 2026-06-30; ETF/fund proxy differs from spot commodity.
PPLT,abrdn Physical Platinum Shares ETF,commodity_real_assets,Global,United States,NYSE Arca,USD,proxy,,,,,2026-06-30,Yahoo Finance quote page,https://finance.yahoo.com/quote/PPLT/,public_web_source,True,False,False,True,platinum ETF/fund proxy,manual_review_required,Documented commodity proxy retrieved 2026-06-30; ETF/fund proxy differs from spot commodity.
PALL,abrdn Physical Palladium Shares ETF,commodity_real_assets,Global,United States,NYSE Arca,USD,proxy,,,,,2026-06-30,Yahoo Finance quote page,https://finance.yahoo.com/quote/PALL/,public_web_source,True,False,False,True,palladium ETF/fund proxy,manual_review_required,Documented commodity proxy retrieved 2026-06-30; ETF/fund proxy differs from spot commodity.
USO,United States Oil Fund,commodity_real_assets,Global,United States,NYSE Arca,USD,proxy,,,,,2026-06-30,Yahoo Finance quote page,https://finance.yahoo.com/quote/USO/,public_web_source,True,False,False,True,WTI crude oil ETF/fund proxy,manual_review_required,Documented commodity proxy retrieved 2026-06-30; ETF/fund proxy differs from spot commodity.
BNO,United States Brent Oil Fund,commodity_real_assets,Global,United States,NYSE Arca,USD,proxy,,,,,2026-06-30,Yahoo Finance quote page,https://finance.yahoo.com/quote/BNO/,public_web_source,True,False,False,True,Brent crude oil ETF/fund proxy,manual_review_required,Documented commodity proxy retrieved 2026-06-30; ETF/fund proxy differs from spot commodity.
UNG,United States Natural Gas Fund,commodity_real_assets,Global,United States,NYSE Arca,USD,proxy,,,,,2026-06-30,Yahoo Finance quote page,https://finance.yahoo.com/quote/UNG/,public_web_source,True,False,False,True,natural gas ETF/fund proxy,manual_review_required,Documented commodity proxy retrieved 2026-06-30; ETF/fund proxy differs from spot commodity.
