ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
META,"Meta Platforms, Inc.",NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/META,2026-07-02,Yahoo Finance via yfinance,1555824902144.0,11,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MU,"Micron Technology, Inc.",NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MU,2026-07-02,Yahoo Finance via yfinance,1165850050560.0,12,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
BRK-A,Berkshire Hathaway Inc.,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/BRK-A,2026-07-02,Yahoo Finance via yfinance,1079865180160.0,13,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
BRK-B,Berkshire Hathaway Inc. New,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/BRK-B,2026-07-02,Yahoo Finance via yfinance,1077866070016.0,14,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
LLY,Eli Lilly and Company,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/LLY,2026-07-02,Yahoo Finance via yfinance,1062723846144.0,15,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
JPM,JP Morgan Chase & Co.,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/JPM,2026-07-02,Yahoo Finance via yfinance,895144361984.0,16,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AMD,"Advanced Micro Devices, Inc.",NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AMD,2026-07-02,Yahoo Finance via yfinance,881959239680.0,17,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
WMT,Walmart Inc.,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/WMT,2026-07-02,Yahoo Finance via yfinance,865998143488.0,18,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ASML,ASML Holding N.V. - New York Re,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ASML,2026-07-02,Yahoo Finance via yfinance,710340182016.0,19,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
V,Visa Inc.,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/V,2026-07-02,Yahoo Finance via yfinance,667664187392.0,20,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
