Date,Strategy,Turnover,Transaction_Cost
2019-10-17,Equal Weight,1.2836953722228372e-16,1.925543058334256e-19
2020-01-14,Equal Weight,0.05812358170550754,8.718537255826131e-05
2020-04-10,Equal Weight,0.13445683747957035,0.00020168525621935552
2020-07-08,Equal Weight,0.14224072491553952,0.0002133610873733093
2020-10-05,Equal Weight,0.08312395228365181,0.00012468592842547772
2020-12-31,Equal Weight,0.16728806532007626,0.0002509320979801144
2021-03-30,Equal Weight,0.4966627389885563,0.0007449941084828345
2021-06-25,Equal Weight,0.05252845567059313,7.87926835058897e-05
2021-09-22,Equal Weight,0.08728282778094074,0.0001309242416714111
2021-12-20,Equal Weight,0.08414939158171492,0.00012622408737257237
2022-03-17,Equal Weight,0.0962030141437168,0.00014430452121557522
2022-06-14,Equal Weight,0.14569987137014465,0.00021854980705521696
2022-09-09,Equal Weight,0.0816488413255133,0.00012247326198826995
2022-12-07,Equal Weight,0.08129691787056625,0.00012194537680584938
2023-03-06,Equal Weight,0.05903212128053345,8.854818192080018e-05
2023-06-01,Equal Weight,0.0772525814161097,0.00011587887212416456
2023-08-29,Equal Weight,0.0593936852218856,8.90905278328284e-05
2023-11-24,Equal Weight,0.06569912023050428,9.854868034575642e-05
2024-02-21,Equal Weight,0.09500187254021211,0.00014250280881031817
2024-05-20,Equal Weight,0.0940032638816857,0.00014100489582252856
2024-08-15,Equal Weight,0.07288919114814901,0.00010933378672222352
2024-11-12,Equal Weight,0.09771057562531785,0.00014656586343797677
2025-02-07,Equal Weight,0.1474576376871912,0.00022118645653078679
2025-05-07,Equal Weight,0.06000828160297006,9.001242240445509e-05
2025-08-04,Equal Weight,0.09655002646370033,0.00014482503969555049
2025-10-30,Equal Weight,0.07643995896791235,0.00011465993845186853
2026-01-27,Equal Weight,0.13560137370446906,0.0002034020605567036
2026-04-24,Equal Weight,0.11220043516692287,0.00016830065275038431
2019-10-17,Momentum Tilt 6M/12M,0.4744703925356241,0.0007117055888034362
2020-01-14,Momentum Tilt 6M/12M,0.2824237931831224,0.0004236356897746836
2020-04-10,Momentum Tilt 6M/12M,0.7159870117678662,0.0010739805176517992
2020-07-08,Momentum Tilt 6M/12M,0.2455379925388125,0.0003683069888082188
2020-10-05,Momentum Tilt 6M/12M,0.41364018939644037,0.0006204602840946605
2020-12-31,Momentum Tilt 6M/12M,0.2049432524951661,0.00030741487874274913
2021-03-30,Momentum Tilt 6M/12M,0.46363980721555254,0.0006954597108233289
2021-06-25,Momentum Tilt 6M/12M,0.22326360973535642,0.0003348954146030346
2021-09-22,Momentum Tilt 6M/12M,0.1752565718795478,0.0002628848578193217
2021-12-20,Momentum Tilt 6M/12M,0.2560281241646734,0.00038404218624701013
2022-03-17,Momentum Tilt 6M/12M,0.500678802809399,0.0007510182042140985
2022-06-14,Momentum Tilt 6M/12M,0.48740539223626184,0.0007311080883543928
2022-09-09,Momentum Tilt 6M/12M,0.32050133907630807,0.0004807520086144621
2022-12-07,Momentum Tilt 6M/12M,0.6921049915472727,0.001038157487320909
2023-03-06,Momentum Tilt 6M/12M,0.6928326215234796,0.0010392489322852193
2023-06-01,Momentum Tilt 6M/12M,0.8050522513298056,0.0012075783769947084
2023-08-29,Momentum Tilt 6M/12M,0.3513025740978708,0.0005269538611468062
2023-11-24,Momentum Tilt 6M/12M,0.33904376989288243,0.0005085656548393236
2024-02-21,Momentum Tilt 6M/12M,0.3240910638477469,0.0004861365957716203
2024-05-20,Momentum Tilt 6M/12M,0.40552489280211806,0.0006082873392031772
2024-08-15,Momentum Tilt 6M/12M,0.3176545475752825,0.00047648182136292375
2024-11-12,Momentum Tilt 6M/12M,0.1598898695650807,0.00023983480434762105
2025-02-07,Momentum Tilt 6M/12M,0.272674180368967,0.00040901127055345055
2025-05-07,Momentum Tilt 6M/12M,0.39789870054826865,0.000596848050822403
2025-08-04,Momentum Tilt 6M/12M,0.335423209524142,0.000503134814286213
2025-10-30,Momentum Tilt 6M/12M,0.2594434395500771,0.0003891651593251157
2026-01-27,Momentum Tilt 6M/12M,0.20946628492017244,0.00031419942738025866
2026-04-24,Momentum Tilt 6M/12M,0.3129609819755435,0.0004694414729633153
2019-10-17,Time-Series Momentum,0.6760023810626714,0.0010140035715940072
2020-01-14,Time-Series Momentum,0.43221347623642536,0.0006483202143546381
2020-04-10,Time-Series Momentum,1.2398078120675908,0.0018597117181013863
2020-07-08,Time-Series Momentum,0.3793686156724123,0.0005690529235086184
2020-10-05,Time-Series Momentum,0.6567820409035475,0.0009851730613553212
2020-12-31,Time-Series Momentum,0.3814899105222194,0.0005722348657833292
2021-03-30,Time-Series Momentum,0.6680221548694103,0.0010020332323041154
2021-06-25,Time-Series Momentum,0.40301073934031273,0.0006045161090104691
2021-09-22,Time-Series Momentum,0.2667335780692202,0.0004001003671038303
2021-12-20,Time-Series Momentum,0.40653867626910223,0.0006098080144036534
2022-03-17,Time-Series Momentum,0.7861699475599728,0.0011792549213399592
2022-06-14,Time-Series Momentum,0.970959214248627,0.0014564388213729406
2022-09-09,Time-Series Momentum,0.3786460830702129,0.0005679691246053194
2022-12-07,Time-Series Momentum,0.680310373026509,0.0010204655595397634
2023-03-06,Time-Series Momentum,1.7297297297297296,0.0025945945945945945
2023-06-01,Time-Series Momentum,1.0361446211574465,0.0015542169317361697
2023-08-29,Time-Series Momentum,0.7454033503567373,0.001118105025535106
2023-11-24,Time-Series Momentum,0.8389498899206939,0.0012584248348810408
2024-02-21,Time-Series Momentum,0.6424605234545416,0.0009636907851818125
2024-05-20,Time-Series Momentum,0.7928614167715798,0.0011892921251573697
2024-08-15,Time-Series Momentum,0.6202786297245259,0.0009304179445867888
2024-11-12,Time-Series Momentum,0.27151276931097307,0.0004072691539664596
2025-02-07,Time-Series Momentum,0.4923053695794909,0.0007384580543692363
2025-05-07,Time-Series Momentum,0.5204779674850312,0.0007807169512275468
2025-08-04,Time-Series Momentum,0.6697129479952436,0.0010045694219928654
2025-10-30,Time-Series Momentum,0.5226411698812143,0.0007839617548218215
2026-01-27,Time-Series Momentum,0.3028300086120251,0.0004542450129180376
2026-04-24,Time-Series Momentum,0.5996392391477074,0.0008994588587215612
2019-10-17,Cross-Asset Relative Momentum,0.972972972972973,0.0014594594594594596
2020-01-14,Cross-Asset Relative Momentum,0.6085658958881863,0.0009128488438322795
2020-04-10,Cross-Asset Relative Momentum,1.0531372242184032,0.0015797058363276049
2020-07-08,Cross-Asset Relative Momentum,0.7461943376512734,0.0011192915064769102
2020-10-05,Cross-Asset Relative Momentum,0.6620078132567316,0.0009930117198850975
2020-12-31,Cross-Asset Relative Momentum,0.3343079667331805,0.0005014619500997707
2021-03-30,Cross-Asset Relative Momentum,0.44659682673599843,0.0006698952401039977
2021-06-25,Cross-Asset Relative Momentum,0.17249846364851068,0.000258747695472766
2021-09-22,Cross-Asset Relative Momentum,0.20977170125843134,0.000314657551887647
2021-12-20,Cross-Asset Relative Momentum,0.29710653139824966,0.0004456597970973745
2022-03-17,Cross-Asset Relative Momentum,0.8785646557237232,0.0013178469835855848
2022-06-14,Cross-Asset Relative Momentum,0.34824412912262087,0.0005223661936839313
2022-09-09,Cross-Asset Relative Momentum,0.31129465724282607,0.0004669419858642391
2022-12-07,Cross-Asset Relative Momentum,0.8764533854747647,0.001314680078212147
2023-03-06,Cross-Asset Relative Momentum,0.8271332422588339,0.001240699863388251
