Portfolio,Ticker,Asset_Class,Weight,Weight_Percent,Included
Min CVaR,EEM,international_equity,0.00000000,0.00000000,False
Equal Weight,VGK,international_equity,0.02702703,2.70270270,True
Min Variance,VGK,international_equity,0.00000000,0.00000000,False
Max Sharpe,VGK,international_equity,0.00000000,0.00000000,False
HRP,VGK,international_equity,0.00455205,0.45520485,True
Risk Parity,VGK,international_equity,0.01426049,1.42604855,True
Inv Volatility,VGK,international_equity,0.02586862,2.58686191,True
Min CVaR,VGK,international_equity,0.00000000,0.00000000,False
Equal Weight,VPL,international_equity,0.02702703,2.70270270,True
Min Variance,VPL,international_equity,0.00000000,0.00000000,False
Max Sharpe,VPL,international_equity,0.00000000,0.00000000,False
HRP,VPL,international_equity,0.00750348,0.75034812,True
Risk Parity,VPL,international_equity,0.01547686,1.54768638,True
Inv Volatility,VPL,international_equity,0.02708794,2.70879358,True
Min CVaR,VPL,international_equity,0.00000000,0.00000000,False
Equal Weight,INDA,international_equity,0.02702703,2.70270270,True
Min Variance,INDA,international_equity,0.00000000,0.00000000,False
Max Sharpe,INDA,international_equity,0.00000000,0.00000000,False
HRP,INDA,international_equity,0.00829729,0.82972855,True
Risk Parity,INDA,international_equity,0.01693871,1.69387105,True
Inv Volatility,INDA,international_equity,0.02321550,2.32154957,True
Min CVaR,INDA,international_equity,0.00000000,0.00000000,False
Equal Weight,FXI,international_equity,0.02702703,2.70270270,True
Min Variance,FXI,international_equity,0.00000000,0.00000000,False
Max Sharpe,FXI,international_equity,0.00000000,0.00000000,False
HRP,FXI,international_equity,0.00518529,0.51852943,True
Risk Parity,FXI,international_equity,0.01401307,1.40130707,True
Inv Volatility,FXI,international_equity,0.01774452,1.77445155,True
Min CVaR,FXI,international_equity,0.00000000,0.00000000,False
Equal Weight,BTC-USD,crypto,0.02702703,2.70270270,True
Min Variance,BTC-USD,crypto,0.00000000,0.00000000,False
Max Sharpe,BTC-USD,crypto,0.00000000,0.00000000,False
HRP,BTC-USD,crypto,0.00405798,0.40579800,True
Risk Parity,BTC-USD,crypto,0.00744958,0.74495823,True
Inv Volatility,BTC-USD,crypto,0.00797703,0.79770257,True
Min CVaR,BTC-USD,crypto,0.00000000,0.00000000,False
Equal Weight,ETH-USD,crypto,0.02702703,2.70270270,True
Min Variance,ETH-USD,crypto,0.00000000,0.00000000,False
Max Sharpe,ETH-USD,crypto,0.00000000,0.00000000,False
HRP,ETH-USD,crypto,0.00380224,0.38022407,True
Risk Parity,ETH-USD,crypto,0.00537841,0.53784094,True
Inv Volatility,ETH-USD,crypto,0.00613108,0.61310811,True
Min CVaR,ETH-USD,crypto,0.00000000,0.00000000,False
Equal Weight,BNB-USD,crypto,0.02702703,2.70270270,True
Min Variance,BNB-USD,crypto,0.00000000,0.00000000,False
Max Sharpe,BNB-USD,crypto,0.04179544,4.17954355,True
HRP,BNB-USD,crypto,0.00289432,0.28943177,True
Risk Parity,BNB-USD,crypto,0.00577269,0.57726899,True
Inv Volatility,BNB-USD,crypto,0.00557027,0.55702670,True
Min CVaR,BNB-USD,crypto,0.00000000,0.00000000,False
Equal Weight,ADA-USD,crypto,0.02702703,2.70270270,True
Min Variance,ADA-USD,crypto,0.00000000,0.00000000,False
Max Sharpe,ADA-USD,crypto,0.00000000,0.00000000,False
HRP,ADA-USD,crypto,0.00244296,0.24429592,True
Risk Parity,ADA-USD,crypto,0.00428791,0.42879119,True
Inv Volatility,ADA-USD,crypto,0.00408716,0.40871644,True
Min CVaR,ADA-USD,crypto,0.00000000,0.00000000,False
Equal Weight,XRP-USD,crypto,0.02702703,2.70270270,True
Min Variance,XRP-USD,crypto,0.00000000,0.00000000,False
Max Sharpe,XRP-USD,crypto,0.00399598,0.39959798,True
HRP,XRP-USD,crypto,0.00264560,0.26456039,True
Risk Parity,XRP-USD,crypto,0.00517984,0.51798434,True
Inv Volatility,XRP-USD,crypto,0.00467601,0.46760140,True
Min CVaR,XRP-USD,crypto,0.00000000,0.00000000,False
Equal Weight,GLD,commodities,0.02702703,2.70270270,True
Min Variance,GLD,commodities,0.00012849,0.01284919,True
Max Sharpe,GLD,commodities,0.15471493,15.47149304,True
HRP,GLD,commodities,0.03372866,3.37286566,True
Risk Parity,GLD,commodities,0.02978071,2.97807058,True
Inv Volatility,GLD,commodities,0.02967091,2.96709142,True
Min CVaR,GLD,commodities,0.00000000,0.00000013,False
Equal Weight,SLV,commodities,0.02702703,2.70270270,True
Min Variance,SLV,commodities,0.00000000,0.00000000,False
Max Sharpe,SLV,commodities,0.00000000,0.00000000,False
HRP,SLV,commodities,0.01012200,1.01220050,True
Risk Parity,SLV,commodities,0.01330955,1.33095452,True
Inv Volatility,SLV,commodities,0.01542984,1.54298379,True
Min CVaR,SLV,commodities,0.00000000,0.00000000,False
Equal Weight,USO,commodities,0.02702703,2.70270270,True
Min Variance,USO,commodities,0.00276247,0.27624675,True
Max Sharpe,USO,commodities,0.00187654,0.18765447,True
HRP,USO,commodities,0.00561245,0.56124543,True
Risk Parity,USO,commodities,0.01755717,1.75571664,True
Inv Volatility,USO,commodities,0.01292743,1.29274327,True
Min CVaR,USO,commodities,0.00000000,0.00000000,False
Equal Weight,UNG,commodities,0.02702703,2.70270270,True
Min Variance,UNG,commodities,0.00343652,0.34365201,True
Max Sharpe,UNG,commodities,0.00000000,0.00000000,False
HRP,UNG,commodities,0.00673721,0.67372093,True
Risk Parity,UNG,commodities,0.01789923,1.78992308,True
Inv Volatility,UNG,commodities,0.00915841,0.91584101,True
Min CVaR,UNG,commodities,0.00084328,0.08432798,True
Equal Weight,DBA,commodities,0.02702703,2.70270270,True
Min Variance,DBA,commodities,0.10584474,10.58447379,True
Max Sharpe,DBA,commodities,0.10999774,10.99977436,True
HRP,DBA,commodities,0.07764948,7.76494783,True
Risk Parity,DBA,commodities,0.04898673,4.89867290,True
Inv Volatility,DBA,commodities,0.03585251,3.58525089,True
Min CVaR,DBA,commodities,0.13082207,13.08220722,True
Equal Weight,PPLT,commodities,0.02702703,2.70270270,True
Min Variance,PPLT,commodities,0.00000000,0.00000000,False
Max Sharpe,PPLT,commodities,0.00000000,0.00000000,False
HRP,PPLT,commodities,0.01214424,1.21442423,True
Risk Parity,PPLT,commodities,0.01386494,1.38649399,True
Inv Volatility,PPLT,commodities,0.01689566,1.68956561,True
Min CVaR,PPLT,commodities,0.00000000,0.00000000,False
Equal Weight,CPER,commodities,0.02702703,2.70270270,True
Min Variance,CPER,commodities,0.00000000,0.00000000,False
Max Sharpe,CPER,commodities,0.00000000,0.00000000,False
HRP,CPER,commodities,0.01676992,1.67699233,True
Risk Parity,CPER,commodities,0.01752113,1.75211326,True
Inv Volatility,CPER,commodities,0.02068741,2.06874076,True
Min CVaR,CPER,commodities,0.00000000,0.00000000,False
Equal Weight,TLT,fixed_income,0.02702703,2.70270270,True
Min Variance,TLT,fixed_income,0.00000000,0.00000000,False
Max Sharpe,TLT,fixed_income,0.00000000,0.00000000,False
HRP,TLT,fixed_income,0.02367893,2.36789326,True
Risk Parity,TLT,fixed_income,0.05662158,5.66215784,True
Inv Volatility,TLT,fixed_income,0.03181806,3.18180553,True
Min CVaR,TLT,fixed_income,0.00000000,0.00000000,False
Equal Weight,IEF,fixed_income,0.02702703,2.70270270,True
Min Variance,IEF,fixed_income,0.14033670,14.03366992,True
Max Sharpe,IEF,fixed_income,0.07395587,7.39558667,True
HRP,IEF,fixed_income,0.07744829,7.74482937,True
Risk Parity,IEF,fixed_income,0.09042424,9.04242410,True
Inv Volatility,IEF,fixed_income,0.05749164,5.74916375,True
Min CVaR,IEF,fixed_income,0.03314783,3.31478318,True
Equal Weight,SHY,fixed_income,0.02702703,2.70270270,True
Min Variance,SHY,fixed_income,0.25000000,25.00000000,True
Max Sharpe,SHY,fixed_income,0.25000000,25.00000000,True
HRP,SHY,fixed_income,0.25000000,25.00000000,True
Risk Parity,SHY,fixed_income,0.17208599,17.20859931,True
Inv Volatility,SHY,fixed_income,0.08393920,8.39392014,True
Min CVaR,SHY,fixed_income,0.25000000,25.00000000,True
Equal Weight,LQD,fixed_income,0.02702703,2.70270270,True
Min Variance,LQD,fixed_income,0.00000000,0.00000000,False
Max Sharpe,LQD,fixed_income,0.00000000,0.00000000,False
HRP,LQD,fixed_income,0.05295187,5.29518707,True
Risk Parity,LQD,fixed_income,0.03902308,3.90230801,True
Inv Volatility,LQD,fixed_income,0.04791135,4.79113514,True
Min CVaR,LQD,fixed_income,0.00000000,0.00000000,False
Equal Weight,HYG,fixed_income,0.02702703,2.70270270,True
Min Variance,HYG,fixed_income,0.10868364,10.86836382,True
Max Sharpe,HYG,fixed_income,0.00000000,0.00000000,False
HRP,HYG,fixed_income,0.02428117,2.42811750,True
Risk Parity,HYG,fixed_income,0.03272759,3.27275880,True
Inv Volatility,HYG,fixed_income,0.04995777,4.99577682,True
Min CVaR,HYG,fixed_income,0.04559764,4.55976409,True
Equal Weight,TIP,fixed_income,0.02702703,2.70270270,True
Min Variance,TIP,fixed_income,0.17872135,17.87213467,True
Max Sharpe,TIP,fixed_income,0.16237290,16.23729022,True
HRP,TIP,fixed_income,0.17273184,17.27318364,True
Risk Parity,TIP,fixed_income,0.07322079,7.32207939,True
Inv Volatility,TIP,fixed_income,0.06190133,6.19013291,True
Min CVaR,TIP,fixed_income,0.25000000,25.00000000,True
Equal Weight,AGG,fixed_income,0.02702703,2.70270270,True
Min Variance,AGG,fixed_income,0.16670801,16.67080099,True
Max Sharpe,AGG,fixed_income,0.04320584,4.32058403,True
HRP,AGG,fixed_income,0.09121218,9.12121787,True
Risk Parity,AGG,fixed_income,0.06801330,6.80133005,True
Inv Volatility,AGG,fixed_income,0.06334062,6.33406168,True
Min CVaR,AGG,fixed_income,0.25000000,25.00000000,True
Equal Weight,VNQ,reits,0.02702703,2.70270270,True
Min Variance,VNQ,reits,0.00000000,0.00000000,False
Max Sharpe,VNQ,reits,0.00000000,0.00000000,False
HRP,VNQ,reits,0.00850654,0.85065443,True
Risk Parity,VNQ,reits,0.01399688,1.39968771,True
Inv Volatility,VNQ,reits,0.02334107,2.33410726,True
Min CVaR,VNQ,reits,0.00000000,0.00000000,False
Equal Weight,VNQI,reits,0.02702703,2.70270270,True
Min Variance,VNQI,reits,0.00000000,0.00000000,False
Max Sharpe,VNQI,reits,0.00000000,0.00000000,False
HRP,VNQI,reits,0.00929236,0.92923628,True
Risk Parity,VNQI,reits,0.01697066,1.69706632,True
Inv Volatility,VNQI,reits,0.02967574,2.96757402,True
Min CVaR,VNQI,reits,0.00000000,0.00000000,False
