Date,Equal Weight,Momentum Tilt 6M/12M,Time-Series Momentum,Cross-Asset Relative Momentum,Dual Momentum Absolute,Trend-Following MA,Volatility-Scaled Momentum,Risk-Managed Equal Weight,Regime-Aware Allocation,Asset-Class Momentum Rotation,Signal-Aware HRP Lite,Shrunk Max Sharpe Nested
2019-10-17,0.006695774205568952,0.0036152595245190354,0.0023132802834633843,0.006913887878462014,0.00877285838123134,0.00033233871469173304,0.0023132802834633843,0.004809398916694479,0.0064622691957578636,0.0033199726721019106,0.0011819267974145866,0.004349800211102639
2019-10-18,-0.0029563499045506857,-0.0010169782517577511,-0.00011942022716824696,-0.0037331086488140556,-0.0037552092880066583,0.0002375676330761913,-0.00011942022716824696,-0.0012377323128989252,-0.002776459346367592,-0.0004793891574908026,0.00021356042744705996,-0.002218938173336249
2019-10-21,0.00325250195085862,0.0021798754096734154,0.0018092870837635457,0.00598306452885717,0.004424331642717863,0.0008246466028416864,0.0018092870837635457,0.0016813419226653157,0.00359205215325833,0.004272184184847712,0.0008740721486909611,0.001174274670332553
2019-10-22,-0.0016681310984882035,-0.0008105148774673039,-0.0005356958513037834,-0.0038944596517664007,-0.0030051727346773506,0.0003405632840312145,-0.0005356958513037834,-0.0007278793147633807,-0.0017648499502623037,-0.0019457139732117095,9.365831343355356e-05,-0.001202090491739771
2019-10-23,-0.005623186587965394,-0.0026695865340252063,-0.0011593687621273443,-0.016993992886269828,-0.01609719972639525,0.001455541004090388,-0.0011593687621273443,-0.0013033516891850603,-0.005710594839991502,-0.0025664466317468727,0.0009900625798628065,-0.009534118301451157
2019-10-24,0.002935538531711415,0.0019307193137471361,0.0012550166230738504,0.003216487541444286,0.0030085036189457445,0.0008889456561155321,0.0012550166230738504,0.002564044071279373,0.0026533239885766936,-0.0002995774553379857,0.0009053272095268778,0.00329589772977458
2019-10-25,0.015273186261947992,0.007607636797491525,0.00307638408386547,0.029319173340855396,0.024679767484951078,9.779118727568198e-05,0.00307638408386547,0.008867126590891113,0.015262727876353983,0.004668191099210187,0.001674459141355648,0.00923562117961651
2019-10-28,0.004669460699897414,0.0014682837299964712,0.00036573411085627635,0.012873471067850202,0.013408839852252184,-0.0010809305737430885,0.00036573411085627635,0.002437031881718024,0.004837591407052115,0.0008596057815914518,-0.0003398635224604183,0.003089274335425176
2019-10-29,0.004813799722971138,0.0025375801602324187,0.0012082843241875132,0.007195083719768054,0.007805848469546301,0.00010504974957270202,0.0012082843241875132,0.0029725038059538822,0.004914917534060571,0.003509790169311019,0.000660506372436784,0.003176288130344449
2019-10-30,-0.0007601484553377638,0.0018277839552279112,0.003323452255464596,-0.001984885878108061,-0.001267777655767317,0.0031100228228093255,0.003323452255464596,0.001351832785234888,-0.0006679771806253908,0.000905152431342308,0.002541881907283324,0.0038090242685231432
