Cost_Bps,Strategy,CAGR,Sharpe,Max_Drawdown,CAGR_Diff_vs_Equal_Weight,Sharpe_Diff_vs_Equal_Weight,Beats_Equal_Weight_CAGR,Hit_Rate_By_Rebalance
0,Equal Weight,0.1831603544364251,0.7957350648439492,-0.31420917785314695,0.0,0.0,False,0.0
0,Momentum Tilt 6M/12M,0.16349286074300529,0.6264647531874318,-0.3614758578563697,-0.019667493693419802,-0.1692703116565174,False,0.39285714285714285
0,Time-Series Momentum,0.177195019654538,0.5926594079172072,-0.48343707351027565,-0.005965334781887099,-0.203075656926742,False,0.4642857142857143
0,Cross-Asset Relative Momentum,0.3213509557685328,0.7954144345824369,-0.4831160436635831,0.1381906013321077,-0.00032063026151230023,True,0.39285714285714285
0,Dual Momentum Absolute,0.3396904663021636,0.7860391221314892,-0.5691017054162084,0.1565301118657385,-0.009695942712459993,True,0.4642857142857143
0,Trend-Following MA,0.040791056808141546,0.08743961667622795,-0.28491099459624647,-0.14236929762828354,-0.7082954481677213,False,0.25
0,Volatility-Scaled Momentum,0.14020032980094288,0.4887979109062948,-0.4988598195922971,-0.04296002463548221,-0.30693715393765436,False,0.42857142857142855
0,Risk-Managed Equal Weight,0.1338540682238567,0.6851161996141398,-0.2712218905083036,-0.049306286212568384,-0.11061886522980935,False,0.42857142857142855
0,Regime-Aware Allocation,0.1667331323154293,0.7430943314122765,-0.31325183249195565,-0.016427222120995788,-0.05264073343167264,False,0.35714285714285715
0,Asset-Class Momentum Rotation,0.3572439683457185,0.963520082376119,-0.37783969565161757,0.1740836139092934,0.1677850175321698,True,0.5714285714285714
0,Signal-Aware HRP Lite,0.07626461723506939,0.4553112945309298,-0.17498590781304402,-0.1068957372013557,-0.3404237703130194,False,0.35714285714285715
0,Shrunk Max Sharpe Nested,0.03737644386823891,0.09201724899584934,-0.4592876201126981,-0.14578391056818618,-0.7037178158480999,False,0.32142857142857145
5,Equal Weight,0.18290824346237233,0.7946075334661574,-0.3142091778531466,0.0,0.0,False,0.0
5,Momentum Tilt 6M/12M,0.1626017872486596,0.623048080416341,-0.3627837435059642,-0.020306456213712742,-0.17155945304981646,False,0.39285714285714285
5,Time-Series Momentum,0.17565906277015086,0.5880069189656011,-0.4842721624371702,-0.0072491806922214685,-0.20660061450055633,False,0.42857142857142855
5,Cross-Asset Relative Momentum,0.3198614671258371,0.7926894835596938,-0.4844569681553037,0.13695322366346474,-0.0019180499064636036,True,0.39285714285714285
5,Dual Momentum Absolute,0.3379970625950617,0.7833131690650257,-0.5697176205457173,0.15508881913268935,-0.01129436440113174,True,0.42857142857142855
5,Trend-Following MA,0.03948576564612316,0.07656752545572527,-0.2867223356662465,-0.14342247781624917,-0.7180400080104321,False,0.25
5,Volatility-Scaled Momentum,0.13881924977700955,0.4842714907559263,-0.500484418043188,-0.04408899368536279,-0.31033604271023113,False,0.39285714285714285
5,Risk-Managed Equal Weight,0.13354233968143592,0.6832419738105927,-0.27122189050830403,-0.049365903780936415,-0.11136555965556472,False,0.42857142857142855
5,Regime-Aware Allocation,0.16620698568851044,0.7405867804585733,-0.31325183249195576,-0.01670125777386189,-0.05402075300758413,False,0.35714285714285715
5,Asset-Class Momentum Rotation,0.355730451503266,0.9602631360437558,-0.3784079897000284,0.17282220804089365,0.16565560257759837,True,0.5714285714285714
5,Signal-Aware HRP Lite,0.0758832784000929,0.45137969277193474,-0.17525047995749465,-0.10702496506227943,-0.3432278406942227,False,0.35714285714285715
5,Shrunk Max Sharpe Nested,0.035887511945928985,0.08431490847120622,-0.46154703653253093,-0.14702073151644335,-0.7102926249949512,False,0.32142857142857145
10,Equal Weight,0.18265616467743184,0.7934795641896426,-0.3142091778531467,0.0,0.0,False,0.0
10,Momentum Tilt 6M/12M,0.16171119390473598,0.6196290458348671,-0.3640893294267269,-0.02094497077269586,-0.1738505183547755,False,0.39285714285714285
10,Time-Series Momentum,0.17412449713875233,0.5833504454498223,-0.4851062081854104,-0.00853166753867951,-0.21012911873982032,False,0.42857142857142855
10,Cross-Asset Relative Momentum,0.3183731542129047,0.7899625290618835,-0.4857949575132672,0.13571698953547284,-0.0035170351277591383,True,0.39285714285714285
10,Dual Momentum Absolute,0.33630511503744454,0.7805851961942484,-0.570332868208123,0.1536489503600127,-0.01289436799539423,True,0.39285714285714285
10,Trend-Following MA,0.03818152391196672,0.0656947273295303,-0.28853026399370507,-0.14447464076546512,-0.7277848368601123,False,0.25
10,Volatility-Scaled Momentum,0.13743932528025082,0.4797417745215435,-0.5021045549114009,-0.04521683939718102,-0.3137377896680991,False,0.39285714285714285
10,Risk-Managed Equal Weight,0.13323066631460168,0.6813667779406893,-0.2712218905083039,-0.04942549836283017,-0.11211278624895327,False,0.42857142857142855
10,Regime-Aware Allocation,0.16568098181437851,0.7380774649599089,-0.31325183249195554,-0.01697518286305333,-0.055402099229733714,False,0.35714285714285715
10,Asset-Class Momentum Rotation,0.3542181025263871,0.9570025129184349,-0.3789759275313498,0.17156193784895524,0.16352294872879225,True,0.5714285714285714
10,Signal-Aware HRP Lite,0.07550202208524315,0.44744529205284156,-0.17551498725508374,-0.1071541425921887,-0.34603427213680105,False,0.35714285714285715
10,Shrunk Max Sharpe Nested,0.03440003010918269,0.0766116060825325,-0.4637981902561532,-0.14825613456824915,-0.7168679581071101,False,0.32142857142857145
25,Equal Weight,0.18190012141547052,0.790093046013423,-0.3142091778531463,0.0,0.0,False,0.0
25,Momentum Tilt 6M/12M,0.15904229311831175,0.6093581216970982,-0.367992322771335,-0.022857828297158767,-0.18073492431632476,False,0.39285714285714285
25,Time-Series Momentum,0.16952913954268478,0.5693580295004724,-0.4876020957816597,-0.012370981872785736,-0.22073501651295058,False,0.42857142857142855
25,Cross-Asset Relative Momentum,0.31391526396159475,0.7817698245162964,-0.4897913677636909,0.13201514254612423,-0.00832322149712661,True,0.39285714285714285
25,Dual Momentum Absolute,0.3312380012795644,0.7723893504945005,-0.5737699705624183,0.14933787986409386,-0.01770369551892248,True,0.39285714285714285
25,Trend-Following MA,0.03427509032696441,0.03308573828978666,-0.2939845743592051,-0.1476250310885061,-0.7570073077236363,False,0.21428571428571427
25,Volatility-Scaled Momentum,0.13330647866876544,0.4661337003387089,-0.5069382976893206,-0.04859364274670508,-0.3239593456747141,False,0.39285714285714285
25,Risk-Managed Equal Weight,0.1322959772017962,0.6757354395889306,-0.2712218905083037,-0.04960414421367432,-0.11435760642449244,False,0.42857142857142855
25,Regime-Aware Allocation,0.16410382648762534,0.7305391176282099,-0.31325183249195576,-0.01779629492784518,-0.05955392838521312,False,0.32142857142857145
25,Asset-Class Momentum Rotation,0.34968805731817154,0.9471988982124228,-0.38112382921833443,0.16778793590270102,0.15710585219899975,True,0.5357142857142857
25,Signal-Aware HRP Lite,0.07435874812326415,0.43562600108986055,-0.17630812018123498,-0.10754137329220637,-0.35446704492356246,False,0.32142857142857145
25,Shrunk Max Sharpe Nested,0.029946276563495022,0.053500277484068465,-0.4705023350279913,-0.1519538448519755,-0.7365927685293545,False,0.2857142857142857
50,Equal Weight,0.18064069270411154,0.7844402504902651,-0.3142091778531465,0.0,0.0,False,0.0
50,Momentum Tilt 6M/12M,0.15460371268631734,0.5921959609133343,-0.3744516334050686,-0.026036980017794198,-0.19224428957693085,False,0.35714285714285715
50,Time-Series Momentum,0.16189795858526845,0.5459661897204435,-0.49174113273932196,-0.018742734118843085,-0.23847406076982158,False,0.35714285714285715
50,Cross-Asset Relative Momentum,0.3065089065079589,0.7680769320616705,-0.4963938421618379,0.12586821380384738,-0.01636331842859462,True,0.39285714285714285
50,Dual Momentum Absolute,0.3228218601963506,0.758691007851595,-0.5806517133086541,0.14218116749223908,-0.025749242638670067,True,0.39285714285714285
50,Trend-Following MA,0.027785310058278334,-0.02114977828686278,-0.3090495432514363,-0.1528553826458332,-0.8055900287771279,False,0.21428571428571427
50,Volatility-Scaled Momentum,0.12644145289329245,0.4433956248892073,-0.5149062501071983,-0.05419923981081909,-0.3410446256010578,False,0.32142857142857145
50,Risk-Managed Equal Weight,0.1307392649111918,0.666331126248384,-0.27122189050830425,-0.04990142779291973,-0.11810912424188114,False,0.42857142857142855
50,Regime-Aware Allocation,0.16147808726881485,0.7179416599593155,-0.31325183249195554,-0.019162605435296687,-0.06649859053094964,False,0.32142857142857145
50,Asset-Class Momentum Rotation,0.3421612882358125,0.930788966542139,-0.3874055562440677,0.16152059553170095,0.14634871605187394,True,0.5357142857142857
50,Signal-Aware HRP Lite,0.07245494063246216,0.4158778041258085,-0.1776287125232776,-0.10818575207164938,-0.3685624463644566,False,0.2857142857142857
50,Shrunk Max Sharpe Nested,0.0225522759430119,0.015002717649119672,-0.48151307000677446,-0.15808841676109964,-0.7694375328411455,False,0.2857142857142857
