Date,Strategy,Is_Rebalance_Date,Asset_Count,Nonzero_Weight_Count,Weight_Sum,Min_Weight,Max_Weight,Long_Only,Sum_To_One,Cap_Check_Applies,Max_Weight_Cap,Cap_Respected_On_Rebalance,Top_Ticker,Top_Asset_Class,Top_Weight
2019-10-17,Asset-Class Momentum Rotation,True,37,37,1.0,0.00491127468596661,0.25,True,True,True,0.25,True,VNQI,reits,0.25
2019-10-18,Asset-Class Momentum Rotation,False,37,37,1.0,0.00494904834324918,0.2494940460025729,True,True,False,0.25,True,VNQI,reits,0.2494940460025729
2019-10-21,Asset-Class Momentum Rotation,False,37,37,1.0,0.004925084884004406,0.2488332973514134,True,True,False,0.25,True,VNQI,reits,0.2488332973514134
2019-10-22,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.00489976253690005,0.24949255186364472,True,True,False,0.25,True,VNQI,reits,0.24949255186364472
2019-10-23,Asset-Class Momentum Rotation,False,37,37,1.0,0.004966246993137061,0.2492413008771691,True,True,False,0.25,True,VNQI,reits,0.2492413008771691
2019-10-24,Asset-Class Momentum Rotation,False,37,37,1.0,0.005076352553410233,0.25021131710032074,True,True,False,0.25,True,VNQI,reits,0.25021131710032074
2019-10-25,Asset-Class Momentum Rotation,False,37,37,1.0,0.005151804813527145,0.24929994621338114,True,True,False,0.25,True,VNQI,reits,0.24929994621338114
2019-10-28,Asset-Class Momentum Rotation,False,37,37,1.0,0.005171582949920273,0.24748702082656743,True,True,False,0.25,True,VNQI,reits,0.24748702082656743
2019-10-29,Asset-Class Momentum Rotation,False,37,37,1.0,0.0050885201966518285,0.24747886012446996,True,True,False,0.25,True,VNQI,reits,0.24747886012446996
2019-10-30,Asset-Class Momentum Rotation,False,37,37,1.0,0.005040255291010167,0.2468169412002827,True,True,False,0.25,True,VNQI,reits,0.2468169412002827
2019-10-31,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.004987862591463346,0.24720413028846402,True,True,False,0.25,True,VNQI,reits,0.24720413028846402
