Scenario,Scenario_Type,Description,Equal Weight_Impact_%,HRP_Impact_%,Inv Volatility_Impact_%,Worst_Affected_Strategy,Worst_Impact_%,Interpretation
COVID crash stylized,stylized_class_shock,"Stylized pandemic-style risk selloff with equity, REIT and crypto pressure.",-22.027027027027007,-2.4243717949366057,-13.81192449323703,Equal Weight,-22.027027027027007,"Equal Weight has the largest stylized one-period loss in this scenario; this is a shock sensitivity test, not a historical replay."
2022 inflation/rate shock stylized,stylized_class_shock,Stylized inflation and rate shock with bond and growth-asset drawdowns.,-16.243243243243242,-14.26306737398011,-15.62402714231916,Equal Weight,-16.243243243243242,"Equal Weight has the largest stylized one-period loss in this scenario; this is a shock sensitivity test, not a historical replay."
Global risk-off stylized,stylized_class_shock,Stylized global de-risking with safe-haven fixed income support.,-15.270270270270261,1.3580637289404336,-7.983183513574546,Equal Weight,-15.270270270270261,"Equal Weight has the largest stylized one-period loss in this scenario; this is a shock sensitivity test, not a historical replay."
Equity crash stylized,stylized_class_shock,Stylized equity-led crash with weaker spillover into bonds.,-22.62162162162163,-4.567879418977774,-16.452973682456573,Equal Weight,-22.62162162162163,"Equal Weight has the largest stylized one-period loss in this scenario; this is a shock sensitivity test, not a historical replay."
Bond yield shock stylized,stylized_class_shock,"Stylized abrupt yield increase hurting duration, REITs and equities.",-14.189189189189195,-17.89902596077759,-15.995624469508286,HRP,-17.89902596077759,"HRP has the largest stylized one-period loss in this scenario; this is a shock sensitivity test, not a historical replay."
USD strength shock stylized,stylized_class_shock,"Stylized dollar surge pressuring non-US equity, commodities and crypto.",-11.67567567567568,-2.9291158459049216,-7.248416898008853,Equal Weight,-11.67567567567568,"Equal Weight has the largest stylized one-period loss in this scenario; this is a shock sensitivity test, not a historical replay."
Crypto crash stylized,stylized_class_shock,Stylized crypto-specific crash with limited traditional-asset spillover.,-11.621621621621628,-0.3915942088424199,-3.464034097927092,Equal Weight,-11.621621621621628,"Equal Weight has the largest stylized one-period loss in this scenario; this is a shock sensitivity test, not a historical replay."
