Strategy,Method,Samples,Block_Size,Observed_CAGR,CAGR_CI_5,CAGR_CI_95,Observed_Sharpe,Sharpe_CI_5,Sharpe_CI_95,Evidence_Strength,Limitations
Equal Weight,moving_block_bootstrap,300,21,0.1824041180774214,0.04081927612585387,0.34665002353812224,0.7923511587178995,0.12316024859862063,1.549014476455351,moderate_positive,Block bootstrap preserves short local dependence but is not a proof of future performance.
Min Variance,moving_block_bootstrap,300,21,0.033972304135139186,0.006652097782915689,0.06396066011710512,-0.045017218357941945,-0.5652131916525365,0.5807981491194567,inconclusive,Block bootstrap preserves short local dependence but is not a proof of future performance.
Max Sharpe,moving_block_bootstrap,300,21,0.05273141090057831,-0.048995703987752846,0.15999996894152269,0.17358356814887335,-0.3676991104442594,0.6803861306040153,inconclusive,Block bootstrap preserves short local dependence but is not a proof of future performance.
Inverse Vol,moving_block_bootstrap,300,21,0.08145909462745027,0.022965720911620826,0.14547092384437682,0.5377837728813838,-0.11137378768403207,1.282065571670225,inconclusive,Block bootstrap preserves short local dependence but is not a proof of future performance.
HRP,moving_block_bootstrap,300,21,0.12367579082882085,0.05022816822417879,0.21324470050476407,0.7272167044807909,0.16362551794433003,1.3726586397876832,moderate_positive,Block bootstrap preserves short local dependence but is not a proof of future performance.
