Fold,Train_Start,Train_End,Test_Start,Test_End,Train_Rows,Test_Rows,Positive_Rate,Baseline_PR_AUC,ROC_AUC,PR_AUC,Brier,Balanced_Accuracy,F1,Status,Model
2,2018-05-07,2021-08-06,2021-08-09,2023-03-23,850.0,424.0,0.10141509433962265,0.10141509433962265,0.5667460172129647,0.12358234252329325,0.43460608385443966,0.5086064823292437,0.18527315914489312,evaluated,balanced_logistic_regression
3,2018-05-07,2023-03-23,2023-03-24,2024-11-06,1274.0,424.0,0.06839622641509434,0.06839622641509434,0.6053251855085116,0.08635794907542442,0.1603598760670198,0.4860759493670886,0.0,evaluated,balanced_logistic_regression
4,2018-05-07,2024-11-06,2024-11-07,2026-06-23,1698.0,424.0,0.11556603773584906,0.11556603773584906,0.5102040816326531,0.1386541484903364,0.3168987454887218,0.4952925170068027,0.2,evaluated,balanced_logistic_regression
mean,,,2018-05-07,2026-06-23,1274.0,424.0,0.09512578616352202,0.09512578616352202,0.5607584281180431,0.11619814669635135,0.30395490180339374,0.49665831623437834,0.12842438638163103,evaluated,balanced_logistic_regression
